INFO:root:Processed 0 repos
INFO:root:Cloning repo as it doesn't exist
DEBUG:git.cmd:Popen(['git', 'version'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=False, shell=None, istream=None)
DEBUG:git.cmd:Popen(['git', 'clone', '-v', '--bare', '--progress', '--', 'https://gerrit.wikimedia.org/r/mediawiki%2Fextensions%2F3D.git', '/home/wpgbrown/CS4529/data_collection/raw_data/git_bare_repos/mediawiki-extensions-3D'], cwd=/home/wpgbrown/CS4529/data_collection/git_blame, universal_newlines=True, shell=None, istream=None)
DEBUG:root:Op code: 5, Current count: 1.0, Max count: , Progress done: 0, Message: 
DEBUG:root:Op code: 32, Current count: 880.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 901.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 922.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 943.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 964.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 985.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1006.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1027.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1047.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1068.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1089.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1110.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1131.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1152.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1173.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1194.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1215.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1236.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1257.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1278.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1299.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1320.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1341.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1362.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1383.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1403.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1424.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1445.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1466.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1487.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1508.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1529.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1550.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1571.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1592.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1613.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1634.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1655.0, Max count: 2094.0, Progress done: 0, Message: 67.99 KiB | 86.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1659.0, Max count: 2094.0, Progress done: 0, Message: 259.93 KiB | 110.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1660.0, Max count: 2094.0, Progress done: 0, Message: 259.93 KiB | 110.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1660.0, Max count: 2094.0, Progress done: 0, Message: 515.85 KiB | 122.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1661.0, Max count: 2094.0, Progress done: 0, Message: 643.81 KiB | 131.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1664.0, Max count: 2094.0, Progress done: 0, Message: 707.79 KiB | 125.00 KiB/s
DEBUG:root:Op code: 32, Current count: 1676.0, Max count: 2094.0, Progress done: 0, Message: 707.79 KiB | 125.00 KiB/s
